date,btc_in_trust,net_assets_usd,implied_btc_px,nav_usd,closing_price_usd,premium_discount_pct,shares_outstanding,share_delta,btc_delta,management_fee_pct,est_fee_drain_btc,w_shares,flow_method_agreement,flow_btc_final,flow_usd_final,cumulative_flow_usd,btc_inventory,cost_basis_usd,avg_buy_price_ex_fee,effective_cost_per_current_btc,confidence_score_0_1,observed_annual_fee_drag_pct,estimated_annual_fee_pct,fee_model_error_pct,obs_ts_utc
2025-12-09,776039.088793869,72370153683.76,93255.80982814358,52.905253,52.905253,0.0,1367920000.0,560000.0,312.382238423801,0.25,5.313196620242776,1.0,0.9999999427255007,317.69539865235197,29626941.68,48767930715.399956,778308.0206301522,67577327670.40911,86825.94278765822,87079.79874498172,0.9999998663203359,0.24999828571142801,0.25,-1.7142885719856338e-06,backfill
2025-12-10,774581.4616189812,72373869631.2,93436.09835424344,53.00717,53.00717,0.0,1365360000.0,-2560000.0,-1457.6271748878062,0.25,5.315336224615541,1.0,0.9999999874661928,-1452.3118750691842,-135698355.20000002,48632232360.19996,776855.708755083,67451229322.634514,86825.94278765822,87080.87227088062,0.9999999712636539,0.24999828662319867,0.25,-1.7133768013266604e-06,backfill
2025-12-11,776641.1481064268,70952117193.0,91357.65902437284,51.827697,51.827697,0.0,1369000000.0,3640000.0,2059.686487445608,0.25,5.305352476842337,1.0,0.9999999912014368,2064.991803584528,188652817.08,48820885177.27996,778920.7005586675,67639882139.714516,86837.9567922652,87092.83857110994,0.9999999797179779,0.24999828753496933,0.25,-1.712465030667687e-06,backfill
2025-12-12,777475.4349842215,70069642419.28,90124.57405899621,51.127811,51.127811,0.0,1370480000.0,1480000.0,834.2868777946569,0.25,5.31945991853717,1.0,0.9999999783026846,839.6063012787879,75669160.28,48896554337.55996,779760.3068599463,67715551299.994514,86841.49565483972,87096.70846561059,0.999999949819489,0.24999828842647842,0.25,-1.711573521578913e-06,backfill
2025-12-15,778026.7495786219,66791080114.44,85846.76574503555,48.700003,48.700003,0.0,1371480000.0,1000000.0,551.3145944004646,0.25,15.975522636662083,1.0,0.9999998071175028,567.2898981965,48700002.99999999,48945254340.55996,780327.5967581428,67764251302.994514,86840.77249673073,87097.58544895214,0.999999545191965,0.2499965757240541,0.25,-3.424275945906885e-06,backfill
2025-12-16,778021.4206647817,68145608621.64,87588.34501422368,49.687643,49.687643,0.0,1371480000.0,0.0,-5.328913840232417,0.25,5.3289503395796025,1.0,2.73977496245692e-08,0.0,0.0,48945254340.55996,780327.5967581428,67764251302.994514,86840.77249673073,87098.1820077566,0.6999931589160184,0.2499982854480276,0.25,-1.714551972398226e-06,backfill
2025-12-17,775610.8155681894,66667299183.8,85954.57650363249,48.760495,48.760495,0.0,1367240000.0,-4240000.0,-2410.605096592335,0.25,5.328913840169738,1.0,0.9999999924127029,-2405.276219251256,-206744498.79999998,48738509841.75996,777922.3205388916,67555375258.04672,86840.77249673073,87099.57868310239,0.9999999825827616,0.2499982862828043,0.25,-1.7137171957060104e-06,backfill
2025-12-18,776898.8975928384,65984596606.4,84933.31218625684,48.18082,48.18082,0.0,1369520000.0,2280000.0,1288.0820246490184,0.25,5.312402846357461,1.0,0.9999999859337014,1293.394391108832,109852269.60000001,48848362111.359955,779215.7149300005,67665227527.64672,86837.60636645439,87096.567825366,0.9999999675314872,0.24999829354049874,0.25,-1.706459501260582e-06,backfill
2025-12-19,777279.3229662251,68345519821.8,87929.16240326891,49.879959,49.879959,0.0,1370200000.0,680000.0,380.4253733867081,0.25,5.321225325978346,1.0,0.9999999527584011,385.746562266116,33918372.12,48882280483.47996,779601.4614922666,67699145899.76672,86838.14646804414,87097.5772794466,0.9999998900227371,0.24999828148081216,0.25,-1.7185191878432704e-06,backfill
2025-12-22,775289.2774956863,68314446825.59999,88114.78348607807,49.98423,49.98423,0.0,1366720000.0,-3480000.0,-1990.045470538782,0.25,15.971492937662159,1.0,0.9999999445854606,-1974.0741963859323,-173945120.39999998,48708335363.079956,777627.3872958807,67527720955.56217,86838.14646804414,87100.03209858386,0.9999998734360335,0.2499965771950441,0.25,-3.422804955910408e-06,backfill
2025-12-23,775352.0383892996,68056938683.8,87775.5333244298,49.791445,49.791445,0.0,1366840000.0,120000.0,62.76089361333288,0.25,5.310200530792372,1.0,0.9999997328459059,68.071057773192,5974973.399999999,48714310336.47996,777695.4583536539,67533695928.96217,86838.2285167615,87100.68792655176,0.9999993403379115,0.2499982846132509,0.25,-1.7153867490904418e-06,backfill
2025-12-24,773554.202218152,67719572866.08,87543.41023795828,49.659431,49.659431,0.0,1363680000.0,-3160000.0,-1797.8361711476464,0.25,5.31063039992671,1.0,0.999999989853979,-1792.5255771217237,-156923801.95999998,48557386534.51996,775902.9327765321,67378036183.27394,86838.2285167615,87101.89407551364,0.999999976724092,0.249998285362929,0.25,-1.7146370709930636e-06,backfill
2025-12-26,772499.8709216763,67605422739.04,87515.12496485858,49.642706,49.642706,0.0,1361840000.0,-1840000.0,-1054.3312964757206,0.25,10.596632907097973,1.0,0.9999999478466781,-1043.734772437088,-91342579.03999998,48466043955.47996,774859.198004095,67287400104.59416,86838.22851676152,87103.44511037003,0.9999998810956958,0.24999743352802084,0.25,-2.5664719791596013e-06,backfill
2025-12-29,770283.1241011792,67177778754.8,87211.80128825814,49.46963,49.46963,0.0,1357960000.0,-3880000.0,-2216.7468204970937,0.25,15.873285018938553,1.0,0.9999999506015419,-2200.873752917684,-191942164.4,48274101791.079956,772658.3242511774,67096280126.70175,86838.2285167615,87105.99781735377,0.9999998870909887,0.24999657594963293,0.25,-3.4240503670734945e-06,backfill
2025-12-30,770187.0911665974,67770331654.8,87992.03782051348,49.911866,49.911866,0.0,1357800000.0,-160000.0,-96.03293458174448,0.25,5.275911808912187,1.0,0.9999998009180591,-90.757058909008,-7985898.560000001,48266115892.51996,772567.5671922683,67088398944.480705,86838.22851676152,87106.62605739385,0.999999563986014,0.24999828320304562,0.25,-1.7167969543763206e-06,backfill
