date,nav_usd,shares_outstanding,btc_per_share,btc_in_trust,net_assets_usd,closing_price_usd,premium_discount_pct,basket_usd,basket_btc,management_fee_pct,obs_ts_utc
2024-11-12,50.934095,806320000.0,0.0005688384504369,458665.8193562973,41069179480.4,50.934095,0.0,,,0.25,backfill
2024-11-13,51.519996,821600000.0,0.0005688345543098,467354.469820961,42328828713.6,51.519996,0.0,,,0.25,backfill
2024-11-14,50.20882,826080000.0,0.0005688306582094,469899.63013365184,41476502025.6,50.20882,0.0,,,0.25,backfill
2024-11-15,51.765778,828600000.0,0.0005688267621357,471329.85510566086,42893123650.8,51.765778,0.0,,,0.25,backfill
2024-11-18,51.93316,828600000.0,0.0005688150740746,471320.1703782922,43031816376.0,51.93316,0.0,,,0.25,backfill
2024-11-19,52.973675,830320000.0,0.0005688111781077,472295.2974064034,43985101826.0,52.973675,0.0,,,0.25,backfill
2024-11-20,53.6417,834400000.0,0.0005688072821674,474612.79624050594,44758634480.0,53.6417,0.0,,,0.25,backfill
2024-11-21,55.920654,846080000.0,0.0005688033862538,481253.1690416392,47313346936.32,55.920654,0.0,,,0.25,backfill
2024-11-22,56.515923,856960000.0,0.0005687994903669,487438.4112648256,48431885374.08,56.515923,0.0,,,0.25,backfill
2024-11-25,53.9911,866040000.0,0.0005687878028662,492592.9887942874,46758452244.0,53.9911,0.0,,,0.25,backfill
2024-11-26,51.9389,871000000.0,0.000568783907086,495410.7830719624,45238781900.0,51.9389,0.0,,,0.25,backfill
2024-11-27,55.142386,871000000.0,0.0005687800113325,495407.38987066207,48029018206.0,55.142386,0.0,,,0.25,backfill
2024-11-29,55.442392,871000000.0,0.0005687722199056,495400.6035377837,48290323432.0,55.442392,0.0,,,0.25,backfill
2024-12-02,54.566348,873480000.0,0.0005687605329652,496800.9503345247,47662613651.04,54.566348,0.0,,,0.25,backfill
2024-12-03,54.333498,879680000.0,0.0005687566373718,500323.8387633015,47796091520.64,54.333498,0.0,,,0.25,backfill
2024-12-04,56.052544,892440000.0,0.0005687527418051,507577.696896599,50023532367.36,56.052544,0.0,,,0.25,backfill
2024-12-05,56.159868,902640000.0,0.0005687488462651,513375.45859274745,50692143251.52,56.159868,0.0,,,0.25,backfill
2024-12-06,57.890688,916360000.0,0.0005687449507517,521175.123070881,53048710855.68,57.890688,0.0,,,0.25,backfill
2024-12-09,55.037655,920800000.0,0.0005687332643717,523689.5898335184,50678672724.0,55.037655,0.0,,,0.25,backfill
2024-12-10,54.746314,927960000.0,0.0005687293689651,527758.1052248777,50802389539.43999,54.746314,0.0,,,0.25,backfill
2024-12-11,57.707486,933360000.0,0.0005687254735851,530825.6080254536,53861859132.96,57.707486,0.0,,,0.25,backfill
2024-12-12,56.789246,933360000.0,0.0005687215782318,530821.9722585203,53004810646.560005,56.789246,0.0,,,0.25,backfill
2024-12-13,57.799087,940960000.0,0.0005687176829052,535140.5909065697,54386628903.52,57.799087,0.0,,,0.25,backfill
2024-12-16,60.428116,947760000.0,0.0005687059970855,538996.7957978415,57271351220.16,60.428116,0.0,,,0.25,backfill
